>> ------DATA AND TIME------|--SYNCH 4b--|------------------------DATA 16b--------------------------|-----------------MNEM 12b-------------------|-------DATA 4b-------
>> Thu Jun  3 16:40:52 2021 | (b'Z ]`',) | (23776, 23072, 23648, 23648, 23616, 23616, 23488, 23584) | (b']@\\\xe0]`]\xc0]\xa0]\xa0',)            | 0
>> Thu Jun  3 16:40:52 2021 | (b'[`^`',) | (23904, 23968, 24032, 24032, 24032, 24032, 24064, 24064) | (b']\xa0^\x00^\x00]\x80^ \\\xc0',)         | 0
>> Thu Jun  3 16:40:52 2021 | (b'Z\xc0]\xe0',) | (23712, 23712, 23808, 23904, 23904, 23968, 24000, 24032) | (b']\xe0^ ^\x00^\x00]\xe0^ ',)             | 0
>> Thu Jun  3 16:40:52 2021 | (b'Z\xa0]\xc0',) | (23936, 23808, 23680, 23776, 24032, 23904, 23840, 23840) | (b'\\\xa0] ]\x00\\\xc0]\x00\\\xe0',)       | 0
>> Thu Jun  3 16:40:52 2021 | (b'Z\x00]\x00',) | (23488, 23552, 23648, 23456, 23744, 23488, 23424, 23264) | (b'\\@\\ \\\xa0\\\xa0]\x00]`',)            | 0
>> Thu Jun  3 16:40:52 2021 | (b'[\x80^\xa0',) | (24032, 24064, 24160, 24096, 24096, 24160, 24160, 24128) | (b']\xe0\\\xe0] \\`[\xc0[\xe0',)           | 0
>> Thu Jun  3 16:40:52 2021 | (b'[ ^ ',) | (23840, 23904, 23968, 23968, 24000, 24032, 24032, 24064) | (b'^ ]`] ] ]`\\\xa0',)                     | 0
>> Thu Jun  3 16:40:52 2021 | (b'[\x80^`',) | (24256, 24000, 24064, 24096, 24032, 24128, 24128, 24064) | (b'^ ^ ^ ^`^@^@',)                         | 0
>> Thu Jun  3 16:40:53 2021 | (b'Z\xa0]`',) | (23840, 23744, 23904, 24000, 24000, 24000, 24064, 24096) | (b']\xe0^`^@^\x00^ ^@',)                   | 0
>> Thu Jun  3 16:40:53 2021 | (b'Z\xe0^ ',) | (23840, 23744, 23648, 23776, 23520, 23424, 23488, 23520) | (b'\\ \\\xc0\\\xe0]\x80]@]\x80',)          | 0
>> Thu Jun  3 16:40:53 2021 | (b'[\xc0]`',) | (23648, 23392, 23776, 23776, 23840, 24000, 23968, 24000) | (b'^\x00^@^\x00]\x80]\x00]@',)             | 0
>> Thu Jun  3 16:40:53 2021 | (b'Z\x00\\\xe0',) | (23680, 23744, 23776, 23840, 23904, 23936, 24000, 24000) | (b']\xe0^\x00^@\\\x80] ] ',)               | 0
>> Thu Jun  3 16:40:53 2021 | (b'Z\xe0^ ',) | (23840, 23904, 24000, 24032, 24000, 24064, 24032, 24064) | (b'^\x00]\xe0^@^ ^\x00^\x00',)             | 0
>> Thu Jun  3 16:40:53 2021 | (b'[\xa0^\xa0',) | (23904, 23776, 23744, 23840, 23584, 23552, 23520, 23552) | (b'\\@\\ \\\x80]\x00\\\xe0]\x80',)         | 0
>> Thu Jun  3 16:40:53 2021 | (b'Z`]\xa0',) | (23808, 23776, 23840, 23936, 23968, 24000, 24064, 24064) | (b']\xe0^@^`^ ^`^`',)                      | 0
>> Thu Jun  3 16:40:53 2021 | (b'[@^`',) | (23936, 24032, 24064, 24128, 24064, 24160, 24160, 24160) | (b'^`^`^`^`^ ^`',)                         | 0
>> Thu Jun  3 16:40:54 2021 | (b'Z ]\x00',) | (23520, 23648, 23776, 23712, 23712, 23776, 23840, 23936) | (b']`]\x80]\xe0]\xe0]\xe0^\x00',)          | 0
>> Thu Jun  3 16:40:54 2021 | (b'[\x00]\xe0',) | (23872, 23904, 23968, 23968, 23968, 24032, 23968, 23968) | (b']\xc0]\xe0]\xc0]\xe0]\xe0]\xe0',)       | 0
>> Thu Jun  3 16:40:54 2021 | (b'[`^\x80',) | (24000, 24000, 24064, 24096, 24064, 24096, 24096, 24096) | (b'^\x00^@^@^ ^ ^ ',)                      | 0
>> Thu Jun  3 16:40:54 2021 | (b'Z`]\x80',) | (23776, 23840, 23904, 23840, 23968, 24000, 23488, 23648) | (b'\\\x00\\@\\`]\x00\\\xc0]\x00',)         | 0
>> Thu Jun  3 16:40:54 2021 | (b'Z\xc0^ ',) | (23744, 23808, 23904, 23616, 23968, 24000, 23840, 23840) | (b']`]\x80]@]\x00]@]`',)                   | 0
>> Thu Jun  3 16:40:54 2021 | (b'[`^\x80',) | (24000, 24000, 24064, 24096, 24032, 24160, 23808, 23712) | (b'[\xa0\\@\\`\\`\\\xa0] ',)               | 0
>> Thu Jun  3 16:40:54 2021 | (b'[@^`',) | (23968, 23968, 24032, 24096, 24096, 24064, 23936, 24032) | (b'\\ \\\xe0\\@] ]`]\x00',)                | 0
>> Thu Jun  3 16:40:54 2021 | (b'[ ^ ',) | (23904, 23936, 24000, 24000, 24000, 24032, 24032, 24032) | (b'^\x00^ ]\xe0^ ^ ]\xe0',)                | 0
>> Thu Jun  3 16:40:54 2021 | (b'Y\xe0]\x00',) | (23488, 23584, 23744, 23744, 23744, 23840, 23968, 24032) | (b'^\x00^`^\x00^@^@^`',)                   | 0
>> Thu Jun  3 16:40:55 2021 | (b'[`^ ',) | (23904, 23968, 24064, 24064, 24032, 24160, 24160, 24128) | (b'^`^`^`^\x80^\x00]\xc0',)                | 0
>> Thu Jun  3 16:40:55 2021 | (b'[\x00^\x00',) | (23808, 23904, 23968, 23968, 23936, 23968, 23744, 23808) | (b'[\x80\\ [\xe0\\@\\@\\ ',)               | 0
>> Thu Jun  3 16:40:55 2021 | (b'Y\xe0]`',) | (23520, 23424, 23520, 23520, 23488, 23584, 23584, 23616) | (b'\\\xe0]@]\xa0]\x80]\xa0]\xe0',)         | 0
>> Thu Jun  3 16:40:55 2021 | (b'[\x80^\xa0',) | (24000, 24096, 24096, 24032, 24160, 24128, 24128, 24128) | (b'^`^`^\x80^`^`^`',)                      | 0
>> Thu Jun  3 16:40:55 2021 | (b'[\x00^\x00',) | (23872, 23904, 23968, 24032, 24000, 24064, 24064, 24000) | (b'^@^ ^\x00^ ^ ]\xe0',)                   | 0
>> Thu Jun  3 16:40:55 2021 | (b'Z\xe0^\x00',) | (23872, 23968, 23936, 24064, 23776, 23648, 23296, 23584) | (b'\\@\\`\\\xc0] ]\x80]\xc0',)             | 0
>> Thu Jun  3 16:40:55 2021 | (b'[ ]\xe0',) | (23872, 23968, 24000, 24000, 24032, 24064, 24096, 24032) | (b'^`^@^\x00^ ^ ^ ',)                      | 0
>> Thu Jun  3 16:40:55 2021 | (b'Y\xe0\\\xe0',) | (23520, 23680, 23840, 23808, 23904, 23968, 24064, 24064) | (b']\xe0^ ^ ^\x00^\x00^\x00',)             | 0
>> Thu Jun  3 16:40:56 2021 | (b'Z ] ',) | (23776, 23744, 23840, 23904, 23904, 23776, 23840, 23968) | (b']\xc0]\xc0]\xc0^\x00^ ^\x00',)          | 0
>> Thu Jun  3 16:40:56 2021 | (b'[\x00]`',) | (23776, 23840, 23872, 23936, 23840, 23648, 23904, 23904) | (b']\x00]@\\\xa0\\\x00\\\x80[\xe0',)       | 0
>> Thu Jun  3 16:40:56 2021 | (b'Z\xc0]\xc0',) | (23808, 23936, 23936, 24000, 24032, 24032, 24096, 24096) | (b'^\x00^\x00^\x00^ ^\x00^\x00',)          | 0
>> Thu Jun  3 16:40:56 2021 | (b'Z\xe0]\xa0',) | (23712, 23776, 23840, 23904, 23872, 23936, 24000, 24000) | (b']\xc0]\xe0^\x00^\x00]\xc0^\x00',)       | 0
>> Thu Jun  3 16:40:56 2021 | (b'Y\xa0\\\xe0',) | (23680, 23392, 23872, 23776, 23872, 23968, 23968, 24064) | (b'^@^ ^@^@^ ^`',)                         | 0
>> Thu Jun  3 16:40:56 2021 | (b'[`^ ',) | (23840, 23968, 24032, 23712, 23968, 23552, 23808, 23840) | (b']\x00\\\xa0[\xe0] \\\xc0\\\x80',)       | 0
>> Thu Jun  3 16:40:56 2021 | (b'Y`]@',) | (23424, 23680, 23776, 23872, 23872, 23904, 24032, 24096) | (b'^ ^\x00]\xe0^@^ ^ ',)                   | 0
>> Thu Jun  3 16:40:56 2021 | (b'Z\x00]@',) | (23712, 23776, 23808, 23904, 23936, 23968, 23968, 24032) | (b'^\x00^@^\x00^@^@^`',)                   | 0
>> Thu Jun  3 16:40:56 2021 | (b'Z\xc0^\x00',) | (23904, 23840, 23968, 23904, 24000, 24032, 24064, 24096) | (b']\xc0^ ^\x00]\xc0^\x00]\x80',)          | 0
>> Thu Jun  3 16:40:57 2021 | (b'Z`\\\xe0',) | (23712, 23840, 23872, 23968, 24064, 24096, 24064, 24032) | (b'^ ^ ^\x00^\x00]\xe0^ ',)                | 0
>> Thu Jun  3 16:40:57 2021 | (b'[ ^`',) | (23904, 23968, 24064, 24064, 24032, 24160, 24128, 24064) | (b'^ ^ ^@^\x00\\\xe0\\\xe0',)              | 0
>> Thu Jun  3 16:40:57 2021 | (b'Y\xc0]@',) | (23584, 23360, 23584, 23712, 23712, 23808, 23808, 23712) | (b']\xa0]@]\x00]\xa0]\xa0]\xc0',)          | 0
>> Thu Jun  3 16:40:57 2021 | (b'Z\xa0]\xe0',) | (23840, 23808, 23840, 23904, 23968, 24032, 24064, 24096) | (b'^\x00^ ^\x00^@^ ^ ',)                   | 0
>> Thu Jun  3 16:40:57 2021 | (b'[ ^\x00',) | (23776, 23712, 23680, 23648, 23808, 23616, 23584, 23232) | (b'[\xc0[`[\xe0\\\xa0]\x00\\@',)           | 0
>> Thu Jun  3 16:40:57 2021 | (b'Z ]`',) | (23808, 23456, 23872, 23680, 23488, 23616, 23712, 23616) | (b'\\`\\\xa0] ]`]`]\x80',)                 | 0
>> Thu Jun  3 16:40:57 2021 | (b'[\xa0^\x80',) | (23968, 24000, 24064, 24096, 23936, 23744, 23712, 23744) | (b'^\x80\\\xe0]\xe0\\\x80\\ \\`',)         | 0
>> Thu Jun  3 16:40:57 2021 | (b'Z\xc0]\xe0',) | (23840, 23872, 23968, 24000, 24032, 24096, 24064, 24032) | (b'^@^ \\@\\\xe0\\@]\xc0',)                | 0
>> Thu Jun  3 16:40:58 2021 | (b'[`^`',) | (24224, 23968, 24032, 24096, 24096, 24064, 24096, 24096) | (b'^\x00^@^\x00^@]\xc0]\xc0',)             | 0
